STATE,COUNTY,LATITUDE,LONGITUDE,FIRE_SIZE,CAUSE_CODE,CAUSE_DESCR,DISCOVERY_DATE,DISCOVERY_TIME,CONT_DATE,CONT_TIME
GA,Evans               ,32.1837,-81.9128,0.08,7.0,Arson,2450272.5,14,2450272.5,15
NM,39,36.49472222,-106.98277778,0.3,1.0,Lightning,2453913.5,11,2453914.5,15
NV,Washoe,41.335,-119.8842,0.1,1.0,Lightning,2453953.5,15,2453953.5,18
CA,TEHAMA,40.122167,-122.234733,0.1,9.0,Miscellaneous,2456427.5,7,2456427.5,8
GA,Wayne               ,31.70002887,-82.12911677,0.1,5.0,Debris Burning,2455804.5,15,2455804.5,16
NY,RICHMOND,40.56405605,-74.14464575,0.1,9.0,Miscellaneous,2453142.5,17,2453142.5,17
NY,QUEENS,40.70065303,-73.85447197,0.1,9.0,Miscellaneous,2454946.5,18,2454946.5,18
AZ,5,34.55666667,-111.45611111,0.1,1.0,Lightning,2452131.5,14,2452132.5,14
UT,49,40.36722222,-111.665,0.1,1.0,Lightning,2455057.5,20,2455059.5,18
WV,Hampshire,39.46462995,-78.70769646,0.2,2.0,Equipment Use,2451121.5,11,2451121.5,11
CA,071,34.31777778,-116.89333333,0.1,1.0,Lightning,2456148.5,19,2456149.5,17
ID,059,45.08166667,-114.43416667,0.1,1.0,Lightning,2456127.5,8,2456128.5,8
NM,3,33.71666667,-108.5,0.1,1.0,Lightning,2453917.5,15,2453920.5,14
AZ,1,33.955,-109.42333333,0.1,1.0,Lightning,2451764.5,19,2451765.5,12
MS,LAMAR,31.07455105,-89.37230006,1.0,4.0,Campfire,2457109.5,17,2457109.5,18
NY,ONTARIO,42.88305613,-76.99098587,1.64,3.0,Smoking,2454574.5,19,2454574.5,19
GA,Berrien             ,31.326999999999998,-83.2349,4.73,5.0,Debris Burning,2449143.5,1,2449143.5,8
GA,Murray              ,34.8585,-84.7405,0.83,8.0,Children,2449244.5,5,2449244.5,7
NY,SUFFOLK,40.8904,-72.9058,0.15,9.0,Miscellaneous,2457237.5,14,2457237.5,14
GA,Crisp               ,31.95165016,-83.67995759,1.86,5.0,Debris Burning,2455576.5,13,2455576.5,14
NV,Lincoln,37.9067,-114.5058,0.1,1.0,Lightning,2454346.5,16,2454346.5,18
OR,Harney,43.7221,-118.3641,68.0,1.0,Lightning,2452469.5,14,2452470.5,14
AR,SEBASTIAN,35.104409999999994,-94.208,6.0,5.0,Debris Burning,2456986.5,13,2456986.5,13
MS,TIPPAH,34.85084181,-88.9552593,1.0,4.0,Campfire,2457050.5,15,2457050.5,15
OR,Umatilla,45.89944444,-118.0125,0.25,1.0,Lightning,2456924.5,11,2456924.5,19
GA,Putnam              ,33.28510833,-83.39848889,0.23,5.0,Debris Burning,2456743.5,14,2456743.5,14
MT,Powder River,45.0022,-105.82793000000001,41.5,1.0,Lightning,2457227.5,15,2457229.5,15
AZ,Yavapai,34.165,-112.1424,0.2,2.0,Equipment Use,2452780.5,13,2452780.5,19
CA,049,41.56611111,-120.70583333,0.1,1.0,Lightning,2456526.5,20,2456529.5,10
TN,BLEDSOE,35.516833,-85.30033,2.5,7.0,Arson,2454219.5,12,2454219.5,19
MI,Wexford,44.40352521,-85.42839274,3.3,5.0,Debris Burning,2449817.5,15,2449819.5,9
GA,Forsyth             ,34.1213,-84.1371,3.74,5.0,Debris Burning,2449814.5,21,2449814.5,22
MT,81,46.01777778,-114.33472222,0.1,1.0,Lightning,2455060.5,14,2455130.5,11
OR,43,44.56305556,-121.93055556,0.1,1.0,Lightning,2454697.5,11,2454700.5,18
GA,Wilkinson           ,32.80905539,-83.26895714,0.36,5.0,Debris Burning,2455712.5,17,2455712.5,17
NY,CLINTON,44.676,-73.453,1.28,1.0,Lightning,2456029.5,22,2456029.5,23
CA,SISKIYOU,41.26875,-122.19598300000001,0.1,13.0,Missing/Undefined,2456456.5,13,2456456.5,13
UT,57,41.14111111,-111.87555556,1.0,9.0,Miscellaneous,2454671.5,23,2454672.5,3
WV,Roane,38.86864909,-81.43861911,0.1,3.0,Smoking,2452210.5,13,2452210.5,13
MI,Otsego,45.04910456,-84.6840494,0.4,8.0,Children,2450201.5,17,2450201.5,17
AL,Randolph,33.163218,-85.299125,0.1,5.0,Debris Burning,2454350.5,7,2454350.5,9
MI,ANTRIM,45.06666,-84.90834,0.5,5.0,Debris Burning,2452534.5,15,2452534.5,15
NC,Davie,36.01925,-80.577816,0.7,5.0,Debris Burning,2457042.5,13,2457042.5,14
NV,Clark,36.4031,-115.0419,100.0,1.0,Lightning,2453917.5,12,2453927.5,18
ME,PENOBSCOT,44.700694,-68.77797199999999,0.1,7.0,Arson,2456174.5,18,2456174.5,18
WI,Florence,45.77148639,-88.23147831,0.8,3.0,Smoking,2449459.5,12,2449459.5,13
SC,73,34.84805556,-83.20194444,4.0,5.0,Debris Burning,2452724.5,14,2452724.5,16
SC,Williamsburg County,33.53709,-79.589745,7.0,5.0,Debris Burning,2455763.5,15,2455763.5,18
GA,Laurens             ,32.441,-82.72200000000001,0.13,5.0,Debris Burning,2449472.5,22,2449472.5,23
AL,Pickens,33.270078000000005,-87.846776,0.25,7.0,Arson,2453102.5,16,2453102.5,17
GA,Coffee,31.60363611,-82.89083611,2.56,5.0,Debris Burning,2456287.5,14,2456287.5,16
NV,STOREY,39.49027778,-119.63027779999999,0.1,4.0,Campfire,2455791.5,9,2455791.5,12
NY,CHAUTAUQUA,42.46645454,-79.09764796,0.1,5.0,Debris Burning,2452467.5,12,2452467.5,12
GA,Bryan South         ,31.89583659,-81.24856679999999,0.8,5.0,Debris Burning,2455613.5,15,2455613.5,16
NY,QUEENS,40.72302578,-73.8524643,0.1,9.0,Miscellaneous,2454724.5,21,2454724.5,21
OK,1,35.73652,-94.5033,10.0,5.0,Debris Burning,2456340.5,17,2456340.5,18
GA,Warren,33.3323,-82.5627,6.0,5.0,Debris Burning,2451600.5,13,2451600.5,13
CA,Butte,39.481342,-121.330142,1.0,9.0,Miscellaneous,2454329.5,20,2454329.5,20
CA,Riverside,33.7931,-117.42326899999999,0.1,4.0,Campfire,2453112.5,10,2453112.5,10
GA,Lanier              ,31.05901944,-83.18745278,1.0,5.0,Debris Burning,2456940.5,12,2456940.5,15
NM,Socorro,34.1197,-106.9083,0.1,11.0,Powerline,2456556.5,14,2456556.5,17
NY,QUEENS,40.7196325,-73.79022654,0.1,9.0,Miscellaneous,2455765.5,11,2455765.5,11
GA,Taliaferro,33.5553,-82.9738,0.18,9.0,Miscellaneous,2452035.5,0,2452035.5,0
FL,Citrus,28.965999999999998,-82.3304,1.2,7.0,Arson,2456074.5,13,2456074.5,15
NM,San Juan,36.5222,-107.98200000000001,0.3,9.0,Miscellaneous,2452454.5,10,2452454.5,11
NV,Clark,36.79593,-114.4739,1.0,2.0,Equipment Use,2457182.5,8,2457182.5,10
NY,ONONDAGA,43.17540999,-76.27833799,1.42,9.0,Miscellaneous,2452031.5,15,2452031.5,15
WY,033,44.6425,-107.16111111,0.1,1.0,Lightning,2457297.5,11,2457297.5,18
AZ,5,35.04416667,-111.72638889,0.3,4.0,Campfire,2452811.5,12,2452811.5,17
MN,Mahnomen,47.36963321,-95.80765363,30.0,7.0,Arson,2456023.5,10,2456023.5,12
RI,Kent,41.653,-71.617561,0.1,4.0,Campfire,2454629.5,17,2454629.5,18
CA,35,40.80861111,-121.24916667,0.1,1.0,Lightning,2454984.5,16,2454984.5,18
MS,Hancock,30.24363189,-89.49828758,5.0,6.0,Railroad,2450770.5,10,2450770.5,12
CA,Modoc,41.889959999999995,-120.11935,0.8,1.0,Lightning,2452129.5,18,2452129.5,20
NY,SULLIVAN,41.57832555,-74.48374452,1.17,9.0,Miscellaneous,2454897.5,22,2454897.5,22
WV,Morgan,39.553247999999996,-78.40301737,0.1,7.0,Arson,2451403.5,15,2451403.5,15
WV,Raleigh,37.79809607,-81.24496362,0.1,5.0,Debris Burning,2456716.5,16,2456716.5,16
GA,Washington          ,32.9039,-82.8463,0.19,6.0,Railroad,2449895.5,18,2449895.5,20
WI,Rusk,45.454409999999996,-91.12881,0.2,5.0,Debris Burning,2457141.5,13,2457141.5,14
UT,Garfield,37.88193,-111.53101000000001,0.1,1.0,Lightning,2452506.5,17,2452507.5,20
GA,Liberty,31.8236,-81.5322,0.32,5.0,Debris Burning,2451581.5,15,2451581.5,15
WA,Mason C,47.35818,-122.73993999999999,0.25,9.0,Miscellaneous,2454660.5,20,2454668.5,20
AZ,Maricopa,33.3988,-112.0735,0.1,13.0,Missing/Undefined,2456779.5,20,2456779.5,20
OR,Lane,44.2071,-123.4362,0.1,4.0,Campfire,2452475.5,8,2452475.5,9
NY,SUFFOLK,40.8249,-73.2169,0.1,9.0,Miscellaneous,2456411.5,17,2456411.5,20
AZ,17,34.30833333,-110.44,0.1,1.0,Lightning,2451760.5,9,2451760.5,11
NC,Ashe,36.45235,-81.63143333,7.0,5.0,Debris Burning,2456727.5,13,2456727.5,15
WI,Iowa,43.12527,-90.31437,0.2,2.0,Equipment Use,2456117.5,18,2456117.5,18
PA,TIOGA,41.910090000000004,-77.13608,0.1,5.0,Debris Burning,2457104.5,17,2457104.5,17
AL,Lamar,33.7515904,-88.2306753,8.0,5.0,Debris Burning,2455609.5,15,2455609.5,17
MS,Forrest,31.16150289,-89.32084696,1.0,5.0,Debris Burning,2450908.5,17,2450908.5,18
KS,Douglas,39.01,-95.44,10.0,7.0,Arson,2457109.5,20,2457109.5,21
NY,New York,40.7682,-73.9527,0.1,9.0,Miscellaneous,2457216.5,16,2457216.5,16
OK,Cherokee,35.727222,-95.011944,160.0,13.0,Missing/Undefined,2453692.5,11,2453693.5,15
GA,Treutlen            ,32.4238,-82.4992,1.56,5.0,Debris Burning,2449771.5,14,2449771.5,14
MS,Perry,31.27254871,-88.89024462,1.0,7.0,Arson,2449021.5,20,2449021.5,20
MS,Lamar,31.18094018,-89.46390885,1.0,7.0,Arson,2448697.5,16,2448697.5,16
MO,Newton,36.894241,-94.352115,2.0,2.0,Equipment Use,2455737.5,14,2455737.5,16
PA,CENTRE,40.96431389,-78.08146667,0.001,7.0,Arson,2452508.5,11,2452508.5,11
WV,Lincoln,38.24439788,-82.17956803,0.2,7.0,Arson,2451255.5,17,2451255.5,17
MS,Covington,31.74131057,-89.47065624,2.0,5.0,Debris Burning,2451444.5,18,2451444.5,19
NV,Elko,41.9117,-114.1664,0.1,1.0,Lightning,2456474.5,21,2456475.5,10
WA,047,48.762,-118.8822,0.1,1.0,Lightning,2456852.5,17,2456863.5,12
MN,St. Louis,46.85224332,-92.39734945,1.0,5.0,Debris Burning,2456419.5,13,2456419.5,13
NY,MONROE,43.21036169,-77.70548195,2.13,9.0,Miscellaneous,2452757.5,17,2452757.5,17
MS,Harrison,30.64955328,-89.14280134,15.0,7.0,Arson,2449368.5,14,2449368.5,15
CA,Yolo,38.4966,-122.03268100000001,0.1,7.0,Arson,2453080.5,15,2453080.5,16
NV,Lincoln,37.2964,-114.6231,0.1,1.0,Lightning,2452098.5,13,2452098.5,20
MS,Lamar,31.17261927,-89.55294036,13.0,7.0,Arson,2449042.5,10,2449042.5,11
UT,Sevier,38.5625,-111.72277778,0.1,1.0,Lightning,2456867.5,17,2456868.5,11
GA,Thomas              ,30.9158,-83.85600000000001,10.54,5.0,Debris Burning,2448682.5,19,2448682.5,20
ME,Cumberland,43.751889,-70.514472,0.06,8.0,Children,2453835.5,12,2453844.5,17
PA,SCHUYLKILL,40.82096,-76.25378,0.25,7.0,Arson,2456020.5,18,2456020.5,19
NV,White Pine,39.4294,-115.1831,3.0,9.0,Miscellaneous,2454271.5,11,2454271.5,17
GA,McIntosh            ,31.5664,-81.3339,2.5,7.0,Arson,2450539.5,13,2450539.5,15
FL,Hardee,27.3473,-81.6967,2.0,1.0,Lightning,2456118.5,13,2456118.5,15
NY,FULTON,43.17984196,-74.67042199,0.1,9.0,Miscellaneous,2455823.5,16,2455823.5,18
WV,Lincoln,38.25937216,-81.81809028,8.0,7.0,Arson,2452232.5,13,2452232.5,13
MT,081,46.33666667,-114.30833333,0.1,1.0,Lightning,2456125.5,20,2456149.5,10
NY,NEW YORK,40.86347115,-73.92991797,0.1,9.0,Miscellaneous,2455653.5,21,2455653.5,21
NY,OSWEGO,43.41468787,-76.10397468,1.42,9.0,Miscellaneous,2451666.5,15,2451666.5,15
KS,Nemaha,39.66,-96.07,2.0,9.0,Miscellaneous,2457091.5,16,2457091.5,18
GA,Morgan              ,33.5211,-83.44,0.48,5.0,Debris Burning,2449812.5,17,2449812.5,19
KS,Leavenworth,39.09,-95.07,2.0,9.0,Miscellaneous,2457041.5,14,2457041.5,15
NM,Eddy,32.4972,-104.5969,2.0,9.0,Miscellaneous,2454208.5,17,2454208.5,21
NM,Catron,33.344722,-108.710278,297845.0,1.0,Lightning,2456063.5,10,2456139.5,16
OR,Malheur,42.8779,-117.4546,0.2,9.0,Miscellaneous,2451406.5,17,2451406.5,20
GA,Telfair,31.8755,-83.1424,0.42,5.0,Debris Burning,2452241.5,17,2452241.5,17
WY,Weston,44.80222222,-104.44361111,0.3,11.0,Powerline,2456922.5,14,2456922.5,15
NY,ONTARIO,42.89750212,-77.28487432,0.1,9.0,Miscellaneous,2452518.5,20,2452518.5,20
MN,Koochiching,48.47766376,-94.23559589,10.0,1.0,Lightning,2456170.5,13,2456171.5,21
GA,Carroll             ,33.5388,-85.0602,4.07,2.0,Equipment Use,2450534.5,12,2450534.5,13
NC,Cabarrus,35.21548333,-80.53013333,2.0,13.0,Missing/Undefined,2455753.5,21,2455753.5,21
GA,Laurens             ,32.3554,-83.0657,6.44,2.0,Equipment Use,2449221.5,12,2449221.5,14
AZ,Apache,34.14333333,-109.82611111,0.1,1.0,Lightning,2456848.5,8,2456848.5,13
NC,Beaufort,35.26883333,-76.62333333,4.0,7.0,Arson,2455322.5,12,2455322.5,13
GA,Berrien,31.31861792,-83.14486588,1.2,5.0,Debris Burning,2455960.5,17,2455960.5,17
MO,65,37.43222222,-91.37083333,1.31,7.0,Arson,2453534.5,10,2453534.5,10
AL,Tuscaloosa,33.247402,-87.482669,1.0,5.0,Debris Burning,2453823.5,16,2453823.5,17
AL,Butler,31.765891999999997,-86.626754,0.5,7.0,Arson,2453409.5,13,2453409.5,13
AZ,1,33.81111111,-109.41305556,0.1,1.0,Lightning,2454297.5,14,2454298.5,12
GA,Fannin,34.9612,-84.1571,16.47,5.0,Debris Burning,2451976.5,14,2451976.5,14
LA,East Feliciana,30.82905,-90.92049,0.25,13.0,Missing/Undefined,2457314.5,19,2457314.5,21
GA,Glynn               ,31.3333516,-81.58625217,1.1,7.0,Arson,2455723.5,20,2455723.5,22
GA,Pierce,31.37120104,-82.23452042,0.15,7.0,Arson,2452526.5,14,2452526.5,14
GA,Laurens             ,32.2183,-82.9838,0.24,2.0,Equipment Use,2449430.5,12,2449430.5,13
WI,Price,45.95451845,-90.42937973,0.2,9.0,Miscellaneous,2449485.5,17,2449485.5,17
OR,Lake,43.38399999999999,-120.3019,0.1,1.0,Lightning,2451402.5,10,2451402.5,13
GA,Brantley            ,31.28885543,-81.81268297,120.0,1.0,Lightning,2455801.5,14,2455801.5,19
WV,Boone,37.98876199,-81.71751597,200.0,10.0,Fireworks,2449826.5,13,2449826.5,13
MS,Carroll,33.49937319,-89.96258016,3.0,7.0,Arson,2449055.5,14,2449055.5,14
TX,Hardin,30.42433333,-94.23951667,35.0,2.0,Equipment Use,2455642.5,19,2455642.5,21
WI,Vilas,45.9043,-89.25910999999999,0.05,2.0,Equipment Use,2454939.5,10,2454939.5,10
NM,Chaves,33.61675,-104.26436,0.1,9.0,Miscellaneous,2451489.5,16,2451489.5,17
ID,55,47.625,-116.44,0.1,1.0,Lightning,2451047.5,14,2451049.5,20
WV,Berkeley,39.39588035,-78.07584381,0.1,7.0,Arson,2452401.5,18,2452401.5,18
GA,Union               ,34.9612,-84.0945,1.12,5.0,Debris Burning,2448642.5,13,2448642.5,14
WV,Putnam,38.42324685,-81.91005767,0.1,5.0,Debris Burning,2449817.5,21,2449817.5,21
MT,81,47.46277778,-114.11666667,0.1,1.0,Lightning,2453590.5,14,2453590.5,17
NY,SUFFOLK,40.90942104,-73.06508199999999,0.1,9.0,Miscellaneous,2454879.5,12,2454879.5,12
MO,215,37.45472222,-92.00722222,4.4,5.0,Debris Burning,2456614.5,13,2456614.5,15
ME,Aroostook,46.84999886,-67.96666856,10.0,5.0,Debris Burning,2448751.5,8,2448751.5,10
WV,Mercer,37.27941627,-81.14856267,0.3,7.0,Arson,2451281.5,10,2451281.5,10
WV,Hampshire,39.49751468,-78.6537064,10.0,5.0,Debris Burning,2451214.5,11,2451214.5,11
CA,FRESNO,36.793777,-119.580376,0.1,9.0,Miscellaneous,2456941.5,19,2456941.5,19
OR,17,43.9175,-121.15472222,0.1,4.0,Campfire,2455081.5,17,2455081.5,17
OR,Josephine,42.6471,-123.3809,0.1,9.0,Miscellaneous,2456826.5,9,2456830.5,10
KY,Rockcastle,37.2787,-84.24764,25.0,5.0,Debris Burning,2455611.5,12,2455611.5,19
ME,Waldo,44.339819,-69.174464,0.25,2.0,Equipment Use,2457213.5,17,2457213.5,18
ID,49,45.32027778,-116.17722222,0.1,1.0,Lightning,2453966.5,15,2453966.5,20
MS,Leake,32.77671192,-89.34316741,3.0,7.0,Arson,2449751.5,14,2449751.5,16
WV,Putnam,38.49870171,-81.98169266,8.0,5.0,Debris Burning,2449095.5,15,2449095.5,15
NM,San Juan,36.8894,-107.5339,0.5,1.0,Lightning,2453570.5,11,2453570.5,15
FL,Jackson,30.7263,-85.2995,0.1,5.0,Debris Burning,2456034.5,12,2456034.5,13
FL,Levy,29.5565,-82.8124,1.0,1.0,Lightning,2456092.5,17,2456092.5,19
MT,89,47.66638889,-115.16027778,0.3,1.0,Lightning,2451781.5,6,2451782.5,8
MS,Copiah,31.83211872,-90.45321052,1.0,3.0,Smoking,2450697.5,16,2450697.5,18
MT,77,46.84944444,-112.85666667,0.1,4.0,Campfire,2454669.5,14,2454669.5,16
GA,Clinch              ,30.8127,-82.8156,11.38,5.0,Debris Burning,2449427.5,12,2449427.5,14
NY,SUFFOLK,40.91870002,-73.05311148,0.1,9.0,Miscellaneous,2454378.5,16,2454378.5,16
NY,SCHUYLER,42.53650286,-76.82908119,0.67,9.0,Miscellaneous,2452743.5,17,2452743.5,17
AL,Covington,31.068193,-86.234275,5.0,7.0,Arson,2454549.5,15,2454549.5,18
WY,Natrona,42.88736,-106.17733999999999,11.4,13.0,Missing/Undefined,2455986.5,16,2455986.5,19
CO,109,38.30361111,-106.16138889,2.0,1.0,Lightning,2456449.5,14,2456451.5,12
WV,Wayne,38.18347984,-82.34584312,1.0,5.0,Debris Burning,2449317.5,13,2449317.5,13
GA,Carroll,33.5902,-85.0197,0.12,9.0,Miscellaneous,2451959.5,18,2451959.5,18
AL,Macon,32.474287,-85.550004,1.0,5.0,Debris Burning,2453718.5,14,2453718.5,14
CA,17,38.71694444,-120.5025,0.1,4.0,Campfire,2453204.5,16,2453204.5,17
OR,001,44.78388889,-118.19611111,0.1,4.0,Campfire,2456172.5,19,2456172.5,19
OR,047,44.788888899999996,-121.92833300000001,0.1,4.0,Campfire,2455468.5,15,2455468.5,16
ID,Bannock,42.7371,-112.2258,4.0,2.0,Equipment Use,2452110.5,16,2452110.5,23
CA,San Diego,32.9,-116.9842,20.0,2.0,Equipment Use,2452454.5,13,2452455.5,18
GA,Ware,31.1553,-82.2975,0.08,7.0,Arson,2451669.5,12,2451669.5,12
MS,Jones,31.71652595,-89.0789906,22.0,7.0,Arson,2450126.5,17,2450126.5,18
AL,Covington,31.3445,-86.320504,0.5,5.0,Debris Burning,2453674.5,12,2453674.5,13
AZ,5,34.625,-111.17361111,0.1,1.0,Lightning,2453221.5,14,2453221.5,16
GA,Mitchell            ,31.1559,-84.1354,1.37,5.0,Debris Burning,2450519.5,12,2450519.5,13
AL,Walker,33.842328,-87.400479,0.5,9.0,Miscellaneous,2454374.5,13,2454374.5,14
AZ,5,36.54111111,-112.28944444,1.5,1.0,Lightning,2454706.5,15,2454708.5,12
FL,Marion,29.10361111,-81.89416667,3.4,1.0,Lightning,2456901.5,19,2456905.5,13
AZ,Mohave,36.5586,-113.7497,0.1,1.0,Lightning,2453549.5,10,2453551.5,18
NY,CLINTON,44.67550727,-73.50404952,1.1,7.0,Arson,2453106.5,11,2453106.5,11
GA,Dodge,32.0127,-83.2242,3.04,5.0,Debris Burning,2451948.5,15,2451948.5,15
KY,Graves,36.7211,-88.8125,3.0,4.0,Campfire,2455262.5,19,2455262.5,19
MS,Panola,34.18506367,-89.72304034,150.0,5.0,Debris Burning,2449429.5,10,2449429.5,17
MT,Wibaux,46.7724,-104.57203,0.9,1.0,Lightning,2457264.5,20,2457267.5,18
WV,Braxton,38.57589682,-80.87098524,7.0,10.0,Fireworks,2451276.5,14,2451276.5,14
MN,St. Louis,47.48221517,-92.4411181,0.5,2.0,Equipment Use,2457139.5,16,2457139.5,16
NY,ORANGE,41.54719191,-74.34999607,0.81,9.0,Miscellaneous,2452748.5,20,2452748.5,20
CA,83,34.97055556,-119.98361111,0.1,1.0,Lightning,2453873.5,11,2453873.5,19
OK,McCurtain,34.1645,-94.78799998,3.0,7.0,Arson,2452723.5,11,2452723.5,11
MS,Stone,30.71962855,-89.15727306,2.0,5.0,Debris Burning,2449623.5,15,2449623.5,17
AL,Cleburne,33.777571,-85.386127,60.0,2.0,Equipment Use,2454188.5,14,2454188.5,16
ID,17,48.49,-117.00333333,0.1,1.0,Lightning,2455040.5,8,2455049.5,18
WA,OKANOGAN,48.65873,-119.50456000000001,0.1,9.0,Miscellaneous,2455742.5,16,2455742.5,16
MS,Hancock,30.24656518,-89.60948298,3.0,5.0,Debris Burning,2451444.5,14,2451444.5,16
WY,13,42.58444444,-108.76027778,0.1,2.0,Equipment Use,2453568.5,16,2453568.5,21
WI,Clark,44.68579446,-90.80837104,0.02,7.0,Arson,2450339.5,1,2450339.5,23
AZ,Mohave,35.04404325,-114.37275901,0.1,3.0,Smoking,2450015.5,22,2450016.5,9
MS,Coahoma,34.43473086,-90.45363577,19.0,7.0,Arson,2457316.5,14,2457316.5,17
GA,Coffee,31.5668,-82.7186,1.61,5.0,Debris Burning,2452324.5,13,2452324.5,13
NV,Washoe,39.6874,-119.3307,0.3,9.0,Miscellaneous,2451247.5,13,2451247.5,15
NY,JEFFERSON,44.19543703,-75.60635893,2.0,9.0,Miscellaneous,2452748.5,19,2452748.5,19
ID,Oneida,42.7258,-112.4028,0.1,1.0,Lightning,2456115.5,23,2456116.5,8
NV,Lincoln,38.2833,-114.3289,2.0,1.0,Lightning,2452094.5,16,2452095.5,23
NM,San Juan,36.7583,-107.7539,1.0,1.0,Lightning,2454652.5,17,2454654.5,11
WI,Waushara,44.067139000000005,-89.323177,0.01,2.0,Equipment Use,2456881.5,13,2456881.5,14
GA,Emanuel,32.818000000000005,-82.3372,20.0,7.0,Arson,2452244.5,15,2452244.5,15
GA,Glynn               ,31.2408,-81.4575,0.05,9.0,Miscellaneous,2450185.5,22,2450185.5,23
MD,Dorchester,38.689,-75.87,0.1,5.0,Debris Burning,2456727.5,13,2456727.5,14
ID,49,45.29361111,-114.9875,3.0,1.0,Lightning,2454332.5,14,2454375.5,14
GA,Washington          ,33.0753,-82.7862,1.81,5.0,Debris Burning,2449418.5,17,2449418.5,18
TN,DECATUR,35.739833000000004,-88.17303000000001,4.0,5.0,Debris Burning,2454914.5,13,2454914.5,16
NY,WESTCHESTER,41.0326,-73.7505,0.1,4.0,Campfire,2457171.5,14,2457171.5,14
MS,Jones,31.74253372,-89.385841,3.0,5.0,Debris Burning,2449953.5,16,2449953.5,17
WV,Raleigh,37.64883978,-81.24302155,3.0,5.0,Debris Burning,2452366.5,11,2452366.5,11
NY,ONTARIO,42.86803608,-77.00525666,0.1,3.0,Smoking,2455043.5,16,2455043.5,16
WI,Polk,45.71757084,-92.39423389,0.3,2.0,Equipment Use,2449460.5,16,2449460.5,16
NM,Santa Fe,35.72638889,-105.84527778,0.1,9.0,Miscellaneous,2456845.5,13,2456845.5,15
GA,Hancock,33.19972222,-83.08981389,28.6,5.0,Debris Burning,2456236.5,10,2456236.5,12
GA,291,34.845,-83.9275,1.5,9.0,Miscellaneous,2454900.5,14,2454900.5,16
WI,Jackson,44.30054084,-90.92091252,0.28,5.0,Debris Burning,2449800.5,13,2449800.5,13
CO,Moffat,40.768240000000006,-108.83403,0.3,13.0,Missing/Undefined,2454643.5,10,2454644.5,11
NY,BROOME,42.11621684,-75.88799083,0.1,9.0,Miscellaneous,2454725.5,21,2454725.5,21
GA,Appling             ,31.7381,-82.3372,0.7,5.0,Debris Burning,2450652.5,13,2450652.5,14
AR,CARROLL,36.48348,-93.65438,12.0,5.0,Debris Burning,2455815.5,19,2455815.5,23
GA,Atkinson,31.3955,-83.0385,1.09,5.0,Debris Burning,2451592.5,14,2451592.5,14
NY,JEFFERSON,44.01241861,-76.07293483,0.1,9.0,Miscellaneous,2452524.5,13,2452524.5,13
CA,Lassen,40.7366,-120.7227,0.1,1.0,Lightning,2452843.5,16,2452843.5,18
WV,Doddridge,39.23441586,-80.67760996,24.0,5.0,Debris Burning,2456972.5,14,2456972.5,17
MS,Lincoln,31.64941019,-90.53368334,1.0,7.0,Arson,2449822.5,20,2449822.5,20
NY,JEFFERSON,44.18435485,-75.94834986,1.0,9.0,Miscellaneous,2454575.5,16,2454575.5,16
FL,Union,29.9699,-82.4115,3.0,7.0,Arson,2456058.5,13,2456058.5,14
NC,Richmond,34.9705,-79.735,3.0,3.0,Smoking,2455287.5,14,2455287.5,15
GA,Bryan North,32.1322,-81.6304,1.6,9.0,Miscellaneous,2452351.5,15,2452351.5,15
GA,Dooly               ,32.24617778,-83.95906944,1.25,6.0,Railroad,2457145.5,17,2457145.5,18
WY,Park,44.18361111,-109.34333333,0.1,4.0,Campfire,2456948.5,11,2456948.5,11
MT,Granite,46.6745,-113.5432,0.1,9.0,Miscellaneous,2456618.5,13,2456621.5,15
FL,Volusia,28.8789,-81.1445,1.0,9.0,Miscellaneous,2456815.5,14,2456815.5,16
GA,Burke               ,33.1264,-81.827,13.92,5.0,Debris Burning,2450140.5,12,2450140.5,14
MS,Alcorn,34.86304570000001,-88.49644383,27.0,7.0,Arson,2449301.5,12,2449301.5,13
GA,Liberty,31.7722,-81.4925,0.03,5.0,Debris Burning,2451708.5,14,2451708.5,14
CO,Mesa,39.1872,-109.0225,0.1,1.0,Lightning,2453573.5,20,2453574.5,1
NV,3,36.12861111,-115.69972222,293.0,1.0,Lightning,2453941.5,13,2453944.5,19
CA,Calaveras,38.316431,-120.41663100000001,0.5,7.0,Arson,2451423.5,2,2451423.5,2
GA,Atkinson            ,31.2584,-82.9775,0.03,5.0,Debris Burning,2449160.5,22,2449161.5,2
NY,WARREN,43.31733013,-73.66004824,1.94,9.0,Miscellaneous,2452388.5,13,2452388.5,13
MS,Leake,32.62639001,-89.5566909,10.0,7.0,Arson,2450269.5,7,2450269.5,10
GA,Laurens             ,32.34591568,-83.01254226,1.8,5.0,Debris Burning,2455807.5,17,2455807.5,18
AZ,5,35.50333333,-112.00666667,1.6,1.0,Lightning,2453917.5,14,2453919.5,16
FL,Madison,30.4367,-83.302,1.5,2.0,Equipment Use,2456922.5,15,2456922.5,16
CA,093,41.82861111,-123.04,25.18,1.0,Lightning,2457235.5,17,2457247.5,21
NV,Lincoln,37.7927,-114.3778,5.0,7.0,Arson,2451370.5,9,2451370.5,20
NY,MADISON,42.87687472,-75.68649973,1.6,1.0,Lightning,2453856.5,14,2453856.5,14
MN,Pine,46.32569627,-92.76971389,0.25,9.0,Miscellaneous,2457311.5,11,2457311.5,11
